Hugo_Symbol	classifier_pathogenic_final	penetrance	Adrenocortical Carcinoma_gene_count	Adrenocortical Carcinoma_tumortype_count	Ampullary Carcinoma_gene_count	Ampullary Carcinoma_tumortype_count	Anal Cancer_gene_count	Anal Cancer_tumortype_count	Appendiceal Adenocarcinoma_gene_count	Appendiceal Adenocarcinoma_tumortype_count	Bladder Cancer_gene_count	Bladder Cancer_tumortype_count	Bone Cancer_gene_count	Bone Cancer_tumortype_count	Cancer of Unknown Primary_gene_count	Cancer of Unknown Primary_tumortype_count	Cervical Cancer_gene_count	Cervical Cancer_tumortype_count	Cholangiocarcinoma_gene_count	Cholangiocarcinoma_tumortype_count	Colorectal Adenocarcinoma_gene_count	Colorectal Adenocarcinoma_tumortype_count	Cutaneous Melanoma_gene_count	Cutaneous Melanoma_tumortype_count	Diffuse Glioma_gene_count	Diffuse Glioma_tumortype_count	Embryonal Tumor_gene_count	Embryonal Tumor_tumortype_count	Endometrial Carcinoma_gene_count	Endometrial Carcinoma_tumortype_count	Esophagogastric Cancer_gene_count	Esophagogastric Cancer_tumortype_count	Gastrointestinal Neuroendocrine Tumors_gene_count	Gastrointestinal Neuroendocrine Tumors_tumortype_count	Gastrointestinal Stromal Tumor_gene_count	Gastrointestinal Stromal Tumor_tumortype_count	Germ Cell Tumor_gene_count	Germ Cell Tumor_tumortype_count	Head and Neck Cancer_gene_count	Head and Neck Cancer_tumortype_count	Invasive Breast Carcinoma_gene_count	Invasive Breast Carcinoma_tumortype_count	Lung Neuroendocrine Tumor_gene_count	Lung Neuroendocrine Tumor_tumortype_count	Mesothelioma_gene_count	Mesothelioma_tumortype_count	Nerve Sheath Tumor_gene_count	Nerve Sheath Tumor_tumortype_count	Non Glioma CNS Cancers_gene_count	Non Glioma CNS Cancers_tumortype_count	Non-Cholangio Hepatobiliary Cancer_gene_count	Non-Cholangio Hepatobiliary Cancer_tumortype_count	Non-Small Cell Lung Cancer_gene_count	Non-Small Cell Lung Cancer_tumortype_count	Non-cutaneous Melanoma_gene_count	Non-cutaneous Melanoma_tumortype_count	Other_gene_count	Other_tumortype_count	Ovarian Cancer_gene_count	Ovarian Cancer_tumortype_count	Pancreatic Adenocarcinoma_gene_count	Pancreatic Adenocarcinoma_tumortype_count	Pancreatic Neuroendocrine Tumor_gene_count	Pancreatic Neuroendocrine Tumor_tumortype_count	Prostate Cancer_gene_count	Prostate Cancer_tumortype_count	Renal Clear Cell Carcinoma_gene_count	Renal Clear Cell Carcinoma_tumortype_count	Renal Non-Clear Cell Carcinoma_gene_count	Renal Non-Clear Cell Carcinoma_tumortype_count	Retinoblastoma_gene_count	Retinoblastoma_tumortype_count	Salivary Carcinoma_gene_count	Salivary Carcinoma_tumortype_count	Sex Cord Stromal Tumor_gene_count	Sex Cord Stromal Tumor_tumortype_count	Skin Cancer, Non-Melanoma_gene_count	Skin Cancer, Non-Melanoma_tumortype_count	Small Bowel Cancer_gene_count	Small Bowel Cancer_tumortype_count	Small Cell Lung Cancer_gene_count	Small Cell Lung Cancer_tumortype_count	Soft Tissue Sarcoma_gene_count	Soft Tissue Sarcoma_tumortype_count	Thymic Tumor_gene_count	Thymic Tumor_tumortype_count	Thyroid Cancer_gene_count	Thyroid Cancer_tumortype_count	Unknown_gene_count	Unknown_tumortype_count	Uterine Sarcoma_gene_count	Uterine Sarcoma_tumortype_count	gene_panel
PGR	0	NA	3.0	31.0	4.0	38.0	5.0	35.0	11.0	89.0	51.0	425.0	22.0	143.0	37.0	317.0	8.0	65.0	38.0	213.0	194.0	1212.0	41.0	271.0	97.0	699.0	11.0	98.0	54.0	453.0	40.0	275.0	11.0	65.0	34.0	175.0	25.0	225.0	29.0	219.0	306.0	1904.0	13.0	77.0	21.0	112.0	2.0	17.0	8.0	61.0	16.0	177.0	259.0	1914.0	24.0	154.0	52.0	356.0	41.0	263.0	83.0	636.0	13.0	87.0	107.0	788.0	34.0	252.0	23.0	150.0	2.0	11.0	16.0	97.0	6.0	20.0	15.0	134.0	8.0	44.0	10.0	98.0	63.0	463.0	5.0	24.0	25.0	200.0	3.0	17.0	20.0	68.0	IM5_only
PLCG2	0	NA	9.0	31.0	8.0	38.0	10.0	35.0	19.0	89.0	95.0	425.0	42.0	143.0	65.0	317.0	15.0	65.0	46.0	213.0	291.0	1212.0	45.0	271.0	157.0	699.0	26.0	98.0	117.0	453.0	55.0	275.0	17.0	65.0	47.0	175.0	57.0	225.0	50.0	219.0	504.0	1904.0	25.0	77.0	32.0	112.0	1.0	17.0	10.0	61.0	53.0	177.0	429.0	1914.0	40.0	154.0	92.0	356.0	64.0	263.0	144.0	636.0	14.0	87.0	207.0	788.0	40.0	252.0	45.0	150.0	4.0	11.0	32.0	97.0	6.0	20.0	27.0	134.0	14.0	44.0	20.0	98.0	120.0	463.0	12.0	24.0	55.0	200.0	2.0	17.0	22.0	68.0	IM5_only
POLD1	0	NA	7.0	31.0	11.0	38.0	5.0	35.0	25.0	89.0	85.0	425.0	33.0	143.0	63.0	317.0	10.0	65.0	38.0	213.0	250.0	1212.0	48.0	271.0	117.0	699.0	20.0	98.0	96.0	453.0	49.0	275.0	15.0	65.0	39.0	175.0	37.0	225.0	41.0	219.0	446.0	1904.0	11.0	77.0	18.0	112.0	2.0	17.0	11.0	61.0	39.0	177.0	384.0	1914.0	36.0	154.0	67.0	356.0	48.0	263.0	112.0	636.0	16.0	87.0	162.0	788.0	50.0	252.0	39.0	150.0	2.0	11.0	23.0	97.0	8.0	20.0	29.0	134.0	8.0	44.0	18.0	98.0	110.0	463.0	6.0	24.0	50.0	200.0	2.0	17.0	23.0	68.0	IM5_only
PPM1D	0	NA	1.0	31.0	4.0	38.0	4.0	35.0	6.0	89.0	27.0	425.0	19.0	143.0	32.0	317.0	5.0	65.0	17.0	213.0	139.0	1212.0	11.0	271.0	48.0	699.0	15.0	98.0	57.0	453.0	28.0	275.0	9.0	65.0	22.0	175.0	27.0	225.0	24.0	219.0	247.0	1904.0	7.0	77.0	9.0	112.0	0.0	17.0	2.0	61.0	16.0	177.0	184.0	1914.0	13.0	154.0	25.0	356.0	22.0	263.0	52.0	636.0	5.0	87.0	74.0	788.0	15.0	252.0	19.0	150.0	2.0	11.0	13.0	97.0	8.0	20.0	12.0	134.0	2.0	44.0	3.0	98.0	50.0	463.0	2.0	24.0	21.0	200.0	2.0	17.0	10.0	68.0	IM5_only
PPP6C	0	NA	0.0	31.0	0.0	38.0	0.0	35.0	1.0	89.0	6.0	425.0	1.0	143.0	3.0	317.0	1.0	65.0	3.0	213.0	15.0	1212.0	0.0	271.0	5.0	699.0	0.0	98.0	9.0	453.0	3.0	275.0	0.0	65.0	1.0	175.0	0.0	225.0	1.0	219.0	27.0	1904.0	0.0	77.0	0.0	112.0	0.0	17.0	1.0	61.0	0.0	177.0	15.0	1914.0	4.0	154.0	4.0	356.0	2.0	263.0	2.0	636.0	0.0	87.0	12.0	788.0	5.0	252.0	1.0	150.0	0.0	11.0	2.0	97.0	0.0	20.0	0.0	134.0	0.0	44.0	1.0	98.0	8.0	463.0	1.0	24.0	6.0	200.0	0.0	17.0	0.0	68.0	IM5_only
RAB35	0	NA	1.0	31.0	0.0	38.0	1.0	35.0	4.0	89.0	11.0	425.0	3.0	143.0	13.0	317.0	2.0	65.0	5.0	213.0	43.0	1212.0	13.0	271.0	21.0	699.0	4.0	98.0	20.0	453.0	15.0	275.0	1.0	65.0	7.0	175.0	3.0	225.0	5.0	219.0	92.0	1904.0	4.0	77.0	5.0	112.0	1.0	17.0	2.0	61.0	6.0	177.0	73.0	1914.0	2.0	154.0	13.0	356.0	5.0	263.0	25.0	636.0	3.0	87.0	19.0	788.0	6.0	252.0	6.0	150.0	0.0	11.0	1.0	97.0	1.0	20.0	2.0	134.0	1.0	44.0	1.0	98.0	19.0	463.0	2.0	24.0	11.0	200.0	0.0	17.0	2.0	68.0	IM5_only
RAD21	0	NA	7.0	31.0	2.0	38.0	2.0	35.0	9.0	89.0	45.0	425.0	20.0	143.0	22.0	317.0	4.0	65.0	19.0	213.0	110.0	1212.0	25.0	271.0	86.0	699.0	16.0	98.0	43.0	453.0	30.0	275.0	6.0	65.0	13.0	175.0	23.0	225.0	23.0	219.0	215.0	1904.0	6.0	77.0	7.0	112.0	0.0	17.0	4.0	61.0	13.0	177.0	202.0	1914.0	22.0	154.0	39.0	356.0	21.0	263.0	79.0	636.0	10.0	87.0	84.0	788.0	21.0	252.0	24.0	150.0	1.0	11.0	7.0	97.0	4.0	20.0	8.0	134.0	5.0	44.0	6.0	98.0	53.0	463.0	2.0	24.0	17.0	200.0	3.0	17.0	12.0	68.0	IM5_only
RHEB	0	NA	0.0	31.0	0.0	38.0	0.0	35.0	0.0	89.0	0.0	425.0	0.0	143.0	1.0	317.0	1.0	65.0	1.0	213.0	7.0	1212.0	0.0	271.0	3.0	699.0	1.0	98.0	3.0	453.0	2.0	275.0	0.0	65.0	1.0	175.0	4.0	225.0	2.0	219.0	6.0	1904.0	0.0	77.0	0.0	112.0	0.0	17.0	0.0	61.0	0.0	177.0	6.0	1914.0	0.0	154.0	1.0	356.0	1.0	263.0	3.0	636.0	0.0	87.0	4.0	788.0	0.0	252.0	0.0	150.0	0.0	11.0	0.0	97.0	0.0	20.0	1.0	134.0	0.0	44.0	0.0	98.0	1.0	463.0	0.0	24.0	0.0	200.0	0.0	17.0	0.0	68.0	IM5_only
SH2B3	0	NA	4.0	31.0	13.0	38.0	7.0	35.0	20.0	89.0	94.0	425.0	45.0	143.0	80.0	317.0	18.0	65.0	61.0	213.0	342.0	1212.0	39.0	271.0	133.0	699.0	40.0	98.0	112.0	453.0	89.0	275.0	14.0	65.0	43.0	175.0	61.0	225.0	51.0	219.0	603.0	1904.0	20.0	77.0	20.0	112.0	4.0	17.0	9.0	61.0	53.0	177.0	548.0	1914.0	40.0	154.0	90.0	356.0	49.0	263.0	136.0	636.0	21.0	87.0	204.0	788.0	45.0	252.0	42.0	150.0	3.0	11.0	29.0	97.0	6.0	20.0	30.0	134.0	8.0	44.0	19.0	98.0	134.0	463.0	9.0	24.0	43.0	200.0	4.0	17.0	27.0	68.0	IM5_only
SH2B3	1	Uncertain	0.0	31.0	0.0	38.0	0.0	35.0	0.0	89.0	0.0	425.0	0.0	143.0	0.0	317.0	0.0	65.0	0.0	213.0	0.0	1212.0	0.0	271.0	0.0	699.0	0.0	98.0	0.0	453.0	0.0	275.0	0.0	65.0	0.0	175.0	0.0	225.0	0.0	219.0	0.0	1904.0	0.0	77.0	0.0	112.0	0.0	17.0	0.0	61.0	0.0	177.0	0.0	1914.0	0.0	154.0	0.0	356.0	0.0	263.0	0.0	636.0	0.0	87.0	1.0	788.0	0.0	252.0	0.0	150.0	0.0	11.0	0.0	97.0	0.0	20.0	0.0	134.0	0.0	44.0	0.0	98.0	0.0	463.0	0.0	24.0	0.0	200.0	0.0	17.0	0.0	68.0	IM5_only
