Hugo_Symbol	classifier_pathogenic_final	penetrance	Adrenocortical Carcinoma_gene_count	Adrenocortical Carcinoma_tumortype_count	Ampullary Carcinoma_gene_count	Ampullary Carcinoma_tumortype_count	Anal Cancer_gene_count	Anal Cancer_tumortype_count	Appendiceal Adenocarcinoma_gene_count	Appendiceal Adenocarcinoma_tumortype_count	Bladder Cancer_gene_count	Bladder Cancer_tumortype_count	Bone Cancer_gene_count	Bone Cancer_tumortype_count	Cancer of Unknown Primary_gene_count	Cancer of Unknown Primary_tumortype_count	Cervical Cancer_gene_count	Cervical Cancer_tumortype_count	Cholangiocarcinoma_gene_count	Cholangiocarcinoma_tumortype_count	Colorectal Adenocarcinoma_gene_count	Colorectal Adenocarcinoma_tumortype_count	Cutaneous Melanoma_gene_count	Cutaneous Melanoma_tumortype_count	Diffuse Glioma_gene_count	Diffuse Glioma_tumortype_count	Embryonal Tumor_gene_count	Embryonal Tumor_tumortype_count	Endometrial Carcinoma_gene_count	Endometrial Carcinoma_tumortype_count	Esophagogastric Cancer_gene_count	Esophagogastric Cancer_tumortype_count	Gastrointestinal Neuroendocrine Tumors_gene_count	Gastrointestinal Neuroendocrine Tumors_tumortype_count	Gastrointestinal Stromal Tumor_gene_count	Gastrointestinal Stromal Tumor_tumortype_count	Germ Cell Tumor_gene_count	Germ Cell Tumor_tumortype_count	Head and Neck Cancer_gene_count	Head and Neck Cancer_tumortype_count	Invasive Breast Carcinoma_gene_count	Invasive Breast Carcinoma_tumortype_count	Lung Neuroendocrine Tumor_gene_count	Lung Neuroendocrine Tumor_tumortype_count	Mesothelioma_gene_count	Mesothelioma_tumortype_count	Nerve Sheath Tumor_gene_count	Nerve Sheath Tumor_tumortype_count	Non Glioma CNS Cancers_gene_count	Non Glioma CNS Cancers_tumortype_count	Non-Cholangio Hepatobiliary Cancer_gene_count	Non-Cholangio Hepatobiliary Cancer_tumortype_count	Non-Small Cell Lung Cancer_gene_count	Non-Small Cell Lung Cancer_tumortype_count	Non-cutaneous Melanoma_gene_count	Non-cutaneous Melanoma_tumortype_count	Other_gene_count	Other_tumortype_count	Ovarian Cancer_gene_count	Ovarian Cancer_tumortype_count	Pancreatic Adenocarcinoma_gene_count	Pancreatic Adenocarcinoma_tumortype_count	Pancreatic Neuroendocrine Tumor_gene_count	Pancreatic Neuroendocrine Tumor_tumortype_count	Prostate Cancer_gene_count	Prostate Cancer_tumortype_count	Renal Clear Cell Carcinoma_gene_count	Renal Clear Cell Carcinoma_tumortype_count	Renal Non-Clear Cell Carcinoma_gene_count	Renal Non-Clear Cell Carcinoma_tumortype_count	Retinoblastoma_gene_count	Retinoblastoma_tumortype_count	Salivary Carcinoma_gene_count	Salivary Carcinoma_tumortype_count	Sex Cord Stromal Tumor_gene_count	Sex Cord Stromal Tumor_tumortype_count	Skin Cancer, Non-Melanoma_gene_count	Skin Cancer, Non-Melanoma_tumortype_count	Small Bowel Cancer_gene_count	Small Bowel Cancer_tumortype_count	Small Cell Lung Cancer_gene_count	Small Cell Lung Cancer_tumortype_count	Soft Tissue Sarcoma_gene_count	Soft Tissue Sarcoma_tumortype_count	Thymic Tumor_gene_count	Thymic Tumor_tumortype_count	Thyroid Cancer_gene_count	Thyroid Cancer_tumortype_count	Unknown_gene_count	Unknown_tumortype_count	Uterine Sarcoma_gene_count	Uterine Sarcoma_tumortype_count	gene_panel
FGF3	0	NA	2.0	41.0	0.0	47.0	1.0	48.0	3.0	122.0	11.0	548.0	3.0	206.0	11.0	409.0	2.0	79.0	2.0	288.0	39.0	1495.0	5.0	322.0	14.0	836.0	4.0	112.0	9.0	547.0	9.0	429.0	2.0	85.0	5.0	211.0	2.0	367.0	7.0	279.0	61.0	2422.0	1.0	97.0	2.0	172.0	1.0	33.0	1.0	71.0	10.0	236.0	36.0	2463.0	5.0	197.0	9.0	475.0	3.0	384.0	8.0	758.0	0.0	112.0	18.0	1042.0	1.0	272.0	9.0	190.0	0.0	12.0	7.0	149.0	2.0	27.0	5.0	196.0	1.0	59.0	1.0	132.0	23.0	666.0	1.0	44.0	6.0	306.0	2.0	39.0	5.0	127.0	all
FGF4	0	NA	1.0	41.0	1.0	47.0	1.0	48.0	2.0	122.0	7.0	548.0	5.0	206.0	8.0	409.0	0.0	79.0	4.0	288.0	35.0	1495.0	7.0	322.0	15.0	836.0	6.0	112.0	10.0	547.0	11.0	429.0	1.0	85.0	7.0	211.0	6.0	367.0	5.0	279.0	53.0	2422.0	3.0	97.0	4.0	172.0	0.0	33.0	1.0	71.0	4.0	236.0	40.0	2463.0	5.0	197.0	9.0	475.0	7.0	384.0	14.0	758.0	1.0	112.0	29.0	1042.0	8.0	272.0	5.0	190.0	0.0	12.0	2.0	149.0	0.0	27.0	3.0	196.0	2.0	59.0	3.0	132.0	10.0	666.0	1.0	44.0	7.0	306.0	1.0	39.0	3.0	127.0	all
FGFR1	0	NA	5.0	41.0	5.0	47.0	8.0	48.0	14.0	122.0	83.0	548.0	21.0	206.0	53.0	409.0	10.0	79.0	35.0	288.0	204.0	1495.0	42.0	322.0	110.0	836.0	9.0	112.0	68.0	547.0	53.0	429.0	9.0	85.0	29.0	211.0	49.0	367.0	29.0	279.0	302.0	2422.0	11.0	97.0	17.0	172.0	3.0	33.0	6.0	71.0	36.0	236.0	314.0	2463.0	32.0	197.0	67.0	475.0	41.0	384.0	78.0	758.0	14.0	112.0	143.0	1042.0	33.0	272.0	23.0	190.0	1.0	12.0	20.0	149.0	5.0	27.0	30.0	196.0	7.0	59.0	13.0	132.0	92.0	666.0	7.0	44.0	39.0	306.0	4.0	39.0	15.0	127.0	all
FGFR2	0	NA	8.0	41.0	6.0	47.0	3.0	48.0	16.0	122.0	50.0	548.0	32.0	206.0	42.0	409.0	6.0	79.0	38.0	288.0	156.0	1495.0	38.0	322.0	91.0	836.0	14.0	112.0	57.0	547.0	42.0	429.0	8.0	85.0	32.0	211.0	49.0	367.0	39.0	279.0	308.0	2422.0	13.0	97.0	17.0	172.0	2.0	33.0	4.0	71.0	21.0	236.0	264.0	2463.0	28.0	197.0	54.0	475.0	35.0	384.0	97.0	758.0	16.0	112.0	122.0	1042.0	23.0	272.0	23.0	190.0	3.0	12.0	21.0	149.0	5.0	27.0	16.0	196.0	4.0	59.0	12.0	132.0	85.0	666.0	2.0	44.0	27.0	306.0	2.0	39.0	14.0	127.0	all
FGFR2	1	Uncertain	0.0	41.0	0.0	47.0	0.0	48.0	0.0	122.0	0.0	548.0	0.0	206.0	0.0	409.0	0.0	79.0	0.0	288.0	0.0	1495.0	0.0	322.0	0.0	836.0	0.0	112.0	0.0	547.0	0.0	429.0	0.0	85.0	0.0	211.0	1.0	367.0	0.0	279.0	0.0	2422.0	0.0	97.0	0.0	172.0	0.0	33.0	0.0	71.0	0.0	236.0	0.0	2463.0	0.0	197.0	0.0	475.0	0.0	384.0	0.0	758.0	0.0	112.0	0.0	1042.0	0.0	272.0	0.0	190.0	0.0	12.0	0.0	149.0	0.0	27.0	0.0	196.0	0.0	59.0	0.0	132.0	0.0	666.0	0.0	44.0	0.0	306.0	0.0	39.0	0.0	127.0	all
FGFR3	0	NA	10.0	41.0	13.0	47.0	6.0	48.0	19.0	122.0	107.0	548.0	34.0	206.0	83.0	409.0	14.0	79.0	48.0	288.0	321.0	1495.0	53.0	322.0	140.0	836.0	25.0	112.0	103.0	547.0	99.0	429.0	19.0	85.0	43.0	211.0	71.0	367.0	45.0	279.0	533.0	2422.0	18.0	97.0	30.0	172.0	14.0	33.0	17.0	71.0	56.0	236.0	514.0	2463.0	45.0	197.0	106.0	475.0	70.0	384.0	143.0	758.0	17.0	112.0	232.0	1042.0	57.0	272.0	56.0	190.0	3.0	12.0	32.0	149.0	9.0	27.0	32.0	196.0	13.0	59.0	24.0	132.0	145.0	666.0	16.0	44.0	68.0	306.0	9.0	39.0	37.0	127.0	all
FGFR4	0	NA	3.0	41.0	4.0	47.0	11.0	48.0	13.0	122.0	42.0	548.0	23.0	206.0	43.0	409.0	7.0	79.0	27.0	288.0	170.0	1495.0	29.0	322.0	77.0	836.0	14.0	112.0	61.0	547.0	36.0	429.0	15.0	85.0	22.0	211.0	33.0	367.0	29.0	279.0	293.0	2422.0	12.0	97.0	19.0	172.0	4.0	33.0	3.0	71.0	15.0	236.0	245.0	2463.0	19.0	197.0	43.0	475.0	40.0	384.0	76.0	758.0	13.0	112.0	123.0	1042.0	25.0	272.0	33.0	190.0	3.0	12.0	15.0	149.0	6.0	27.0	20.0	196.0	1.0	59.0	15.0	132.0	68.0	666.0	4.0	44.0	41.0	306.0	1.0	39.0	15.0	127.0	all
FH	0	NA	1.0	41.0	0.0	47.0	0.0	48.0	4.0	122.0	18.0	548.0	14.0	206.0	12.0	409.0	3.0	79.0	7.0	288.0	66.0	1495.0	8.0	322.0	31.0	836.0	7.0	112.0	17.0	547.0	15.0	429.0	1.0	85.0	7.0	211.0	13.0	367.0	13.0	279.0	121.0	2422.0	2.0	97.0	4.0	172.0	1.0	33.0	5.0	71.0	7.0	236.0	92.0	2463.0	10.0	197.0	25.0	475.0	14.0	384.0	27.0	758.0	4.0	112.0	43.0	1042.0	11.0	272.0	13.0	190.0	2.0	12.0	12.0	149.0	4.0	27.0	6.0	196.0	1.0	59.0	4.0	132.0	34.0	666.0	1.0	44.0	20.0	306.0	1.0	39.0	7.0	127.0	all
FH	1	High	0.0	41.0	0.0	47.0	0.0	48.0	0.0	122.0	0.0	548.0	0.0	206.0	0.0	409.0	0.0	79.0	0.0	288.0	0.0	1495.0	0.0	322.0	0.0	836.0	0.0	112.0	0.0	547.0	0.0	429.0	0.0	85.0	0.0	211.0	0.0	367.0	0.0	279.0	0.0	2422.0	0.0	97.0	0.0	172.0	0.0	33.0	0.0	71.0	0.0	236.0	1.0	2463.0	0.0	197.0	0.0	475.0	0.0	384.0	0.0	758.0	0.0	112.0	1.0	1042.0	0.0	272.0	7.0	190.0	0.0	12.0	0.0	149.0	0.0	27.0	0.0	196.0	0.0	59.0	0.0	132.0	0.0	666.0	0.0	44.0	0.0	306.0	0.0	39.0	0.0	127.0	all
FH	1	Uncertain	0.0	41.0	0.0	47.0	0.0	48.0	0.0	122.0	4.0	548.0	1.0	206.0	0.0	409.0	0.0	79.0	3.0	288.0	6.0	1495.0	2.0	322.0	5.0	836.0	0.0	112.0	2.0	547.0	1.0	429.0	0.0	85.0	0.0	211.0	1.0	367.0	1.0	279.0	10.0	2422.0	0.0	97.0	1.0	172.0	0.0	33.0	0.0	71.0	0.0	236.0	9.0	2463.0	0.0	197.0	0.0	475.0	1.0	384.0	2.0	758.0	1.0	112.0	5.0	1042.0	1.0	272.0	0.0	190.0	0.0	12.0	0.0	149.0	0.0	27.0	2.0	196.0	0.0	59.0	0.0	132.0	3.0	666.0	0.0	44.0	2.0	306.0	0.0	39.0	1.0	127.0	all
